Date,Open,High,Low,Close,Volume,Adj Close
2014-04-28,40.14,41.29,40.09,40.40,38568300,39.62
2014-04-21,40.13,40.68,39.30,39.91,34627800,39.14
2014-04-14,39.11,40.42,38.90,40.01,33320100,39.24
2014-04-07,39.96,40.69,39.00,39.21,36233500,38.45
2014-03-31,40.43,41.66,39.64,39.87,37941400,39.10
2014-03-24,40.34,40.99,39.34,40.30,42022100,39.52
2014-03-17,37.90,40.94,37.79,40.16,52026400,39.38
2014-03-10,37.99,38.45,37.51,37.70,26816400,36.97
2014-03-03,37.92,38.48,37.49,37.90,25442700,37.17
2014-02-24,37.69,38.46,37.19,38.31,35796300,37.57
2014-02-18,37.63,38.35,37.21,37.98,32032900,37.24
2014-02-10,36.63,37.86,36.29,37.62,31000600,36.62
2014-02-03,37.74,37.99,35.69,36.56,48637500,35.59
2014-01-27,36.87,37.89,35.75,37.84,52314100,36.83
2014-01-21,36.82,37.55,35.52,36.81,43455200,35.83
2014-01-13,35.99,37.00,34.63,36.38,43324800,35.41
2014-01-06,36.85,36.89,35.40,36.04,43288600,35.08
2013-12-30,37.22,37.58,36.60,36.91,23890200,35.93
2013-12-23,36.81,37.62,36.55,37.29,17886800,36.30
2013-12-16,36.73,37.11,35.53,36.80,47484600,35.82
2013-12-09,38.56,38.90,36.62,36.69,36809300,35.71
2013-12-02,38.09,38.98,37.18,38.36,59961200,37.34
2013-11-25,37.93,38.29,37.35,38.13,28301100,37.11
2013-11-18,37.35,37.68,36.67,37.57,36165800,36.57
2013-11-11,37.69,38.16,36.90,37.84,40053300,36.55
2013-11-04,35.59,38.22,35.55,37.78,53173300,36.50
2013-10-31,35.66,35.69,35.34,35.53,40973400,34.32
