Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,43.31,46.52,43.29,46.05,26694500,46.05
2014-10-20,38.47,43.65,38.25,43.50,38713100,43.50
2014-10-13,39.52,40.07,36.20,38.45,34085900,38.45
2014-10-06,41.20,41.73,39.59,39.60,28599800,39.60
2014-09-29,40.41,41.69,39.69,41.03,32843700,41.03
2014-09-22,39.77,40.80,37.90,40.66,64488400,40.66
2014-09-15,43.98,44.01,39.55,40.93,100194000,40.93
2014-09-08,40.34,43.20,40.26,42.88,50778700,42.88
2014-09-02,38.90,39.80,38.69,39.59,19214900,39.59
2014-08-25,38.14,38.72,37.54,38.51,15368100,38.51
2014-08-18,36.77,38.20,36.75,38.01,15408400,38.01
2014-08-11,36.10,36.57,35.15,36.47,12072200,36.47
2014-08-04,35.71,36.66,35.40,35.91,12880800,35.91
2014-07-28,36.23,36.99,35.31,35.62,17713000,35.62
2014-07-21,33.35,36.55,33.16,36.12,28548300,36.12
2014-07-14,35.80,35.95,32.93,33.33,34066900,33.33
2014-07-07,36.15,36.23,34.10,35.43,17576900,35.43
2014-06-30,34.93,36.15,34.85,36.14,16049500,36.14
2014-06-23,34.13,34.55,33.02,34.25,20076200,34.25
2014-06-16,35.00,35.49,33.97,34.05,22495400,34.05
2014-06-09,35.86,37.06,35.54,36.94,12456600,36.94
2014-06-02,34.69,36.08,34.26,35.92,11014100,35.92
2014-05-27,35.00,35.17,34.13,34.65,13237800,34.65
2014-05-19,33.41,35.08,33.28,35.02,16212800,35.02
2014-05-12,33.99,34.69,33.10,33.41,17952700,33.41
2014-05-05,36.68,37.17,33.41,33.76,29811700,33.76
2014-04-28,34.67,37.12,33.65,36.87,25005100,36.87
2014-04-21,36.60,36.85,34.29,34.48,18059200,34.48
2014-04-14,33.55,37.30,32.64,36.38,41863700,36.38
2014-04-07,34.11,35.00,32.15,32.87,33394600,32.87
2014-03-31,36.46,36.86,33.83,34.26,20657500,34.26
2014-03-24,38.00,38.04,35.05,35.90,24493000,35.90
2014-03-17,39.00,39.94,37.42,37.94,20303700,37.94
2014-03-10,38.63,38.78,36.45,37.60,18249600,37.60
2014-03-03,37.65,40.15,37.43,38.70,13694600,38.70
2014-02-24,37.23,39.38,36.82,38.67,14744200,38.67
2014-02-18,38.31,38.59,37.22,37.29,12864000,37.29
2014-02-10,38.00,38.91,37.25,38.23,14428600,38.23
2014-02-03,35.94,37.27,34.66,37.23,17545800,37.23
2014-01-27,37.60,38.32,34.45,36.01,39200100,36.01
2014-01-21,39.98,40.40,37.62,37.91,19031000,37.91
2014-01-13,41.16,41.31,39.47,40.01,15121400,40.01
2014-01-06,40.05,41.72,39.75,41.23,13364900,41.23
2013-12-30,40.46,40.58,39.31,40.12,13556900,40.12
2013-12-23,40.25,41.05,40.13,40.49,6516200,40.49
2013-12-16,39.97,40.60,38.82,40.12,14694500,40.12
2013-12-09,39.13,40.25,38.57,39.73,18147900,39.73
2013-12-02,37.04,39.31,36.25,38.86,20337600,38.86
2013-11-25,36.78,37.35,35.96,36.98,10625200,36.98
2013-11-18,35.65,36.66,34.51,36.49,21227500,36.49
2013-11-11,33.57,35.94,33.25,35.47,18492100,35.47
2013-11-04,33.20,33.66,32.06,33.12,14404000,33.12
2013-10-31,32.43,33.35,32.28,33.18,15251600,33.18
